venue_id,venue_name
1123338449,Asian Conference on Intelligent Information and Database Systems
1196153040,Parallel and Distributed Processing Techniques and Applications
1125967516,International Symposium on Computer and Information Sciences
1136212596,International Conference on Computer Graphics Theory and Applications
1136274694,Pattern Recognition and Machine Intelligence
73158690,Ars Combinatoria
2754954274,International Conference on Virtual Reality
2764847869,IACR Cryptology ePrint Archive
1127419992,International Conference on Human-Computer Interaction
